ucgid,B07201_014MA,B07201_014EA,B07201_013EA,B07201_013MA,B07201_012EA,B07201_012MA,B07201_011EA,B07201_011MA,B07201_010MA,B07201_010EA,B07201_009MA,B07201_009EA,B07201_008MA,B07201_008EA,B07201_007EA,B07201_007MA,B07201_006EA,B07201_006MA,B07201_005MA,B07201_005EA,B07201_004MA,B07201_004EA,B07201_003MA,B07201_003EA,B07201_002EA,B07201_002MA,B07201_001EA,B07201_001MA,NAME,B07201_014M,B07201_014E,B07201_013M,B07201_013E,B07201_012M,B07201_012E,B07201_011M,B07201_011E,B07201_010M,B07201_010E,B07201_009M,B07201_009E,B07201_008M,B07201_008E,B07201_007M,B07201_007E,B07201_006M,B07201_006E,B07201_005M,B07201_005E,B07201_004M,B07201_004E,B07201_003M,B07201_003E,B07201_002M,B07201_002E,B07201_001M,B07201_001E,GEO_ID
3100000US27100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson, MI Metro Area",108,111,474,1307,371,616,331,668,497,1284,1321,4037,1371,4759,1769,8796,1982,3612,2670,12817,3314,16429,3618,27816,3843,133805,700,161732,3100000US27100
3100000US27140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson, MS Metro Area",663,1127,1025,2626,938,1928,1834,4561,1954,6489,1739,4614,3065,7801,3781,12415,4640,36255,5130,30129,6095,66384,7623,87914,8901,431504,4074,520545,3100000US27140
3100000US27180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson, TN Metro Area",128,105,1083,1969,421,569,279,0,421,569,1275,1784,1368,2752,1850,4536,1511,3016,2693,10674,3048,13690,3347,20764,3933,89612,1874,110481,3100000US27180
3100000US27260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jacksonville, FL Metro Area",1622,5288,2446,5426,1598,3436,1488,3473,2234,6909,5723,34254,4231,30603,7240,64857,6842,50400,8685,111113,11924,161513,12199,238705,12519,1015964,4124,1259957,3100000US27260
3100000US27340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jacksonville, NC Metro Area",939,3977,571,859,2017,3141,1250,1454,2528,4595,2098,9311,1635,6139,2598,15450,1787,9053,1327,3924,2040,12977,4105,33881,3883,109502,758,147360,3100000US27340
3100000US27460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jamestown-Dunkirk-Fredonia, NY Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US27460
3100000US27500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Janesville, WI Metro Area",524,649,366,484,741,1140,859,1193,1129,2333,1046,2234,783,1396,1322,3630,1290,5127,1931,7671,2191,12798,2700,19245,2942,137218,531,157112,3100000US27500
3100000US27620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson City, MO Metro Area",148,162,708,1738,1276,1722,432,1117,1414,2839,886,2562,603,1640,1025,4202,2326,10552,1632,5672,2900,16224,3006,25003,3467,117106,1849,142271,3100000US27620
3100000US27740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johnson City, TN Metro Area",471,604,798,1329,466,644,314,376,557,1020,1279,3443,1342,3491,2081,6934,2528,12162,2075,8025,2990,20187,3662,29470,3695,158498,620,188572,3100000US27740
3100000US27780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johnstown, PA Metro Area",264,294,195,159,563,1294,154,143,616,1437,1684,3354,815,1880,1926,5234,1566,6509,1024,3338,1798,9847,2557,16677,2509,128454,389,145425,3100000US27780
3100000US27860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jonesboro, AR Metro Area",325,462,798,1675,769,1096,128,164,774,1260,1214,2025,1284,1861,1891,3886,2520,7142,3200,10635,4017,17777,4040,24598,3860,87139,2452,112199,3100000US27860
